Component: Arp2/3 protein complex/5885	/ARC40/YBR234C/S000000438/ORF|Verified/|/ARP2/YDL029W/S000002187/ORF|Verified/|/ARC15/YIL062C/S000001324/ORF|Verified/|/ARP3/YJR065C/S000003826/ORF|Verified/|/ARC19/YKL013C/S000001496/ORF|Verified/|/ARC18/YLR370C/S000004362/ORF|Verified/|/CRN1/YLR429W/S000004421/ORF|Verified/|/ARC35/YNR035C/S000005318/ORF|Verified/
Component: Asi complex/97658	/ASI1/YMR119W/S000004725/ORF|Verified/|/ASI3/YNL008C/S000004953/ORF|Verified/|/ASI2/YNL159C/S000005103/ORF|Verified/
Component: Atg12-Atg5-Atg16 complex/34274	/ATG12/YBR217W/S000000421/ORF|Verified/|/ATG16/YMR159C/S000004769/ORF|Verified/|/ATG5/YPL149W/S000006070/ORF|Verified/
Component: BLOC-1 complex/31083	/CNL1/YDR357C/S000002765/ORF|Verified/|/VAB2/YEL005C/S000000731/ORF|Verified/|/KXD1/YGL079W/S000003047/ORF|Verified/|/BLI1/YKL061W/S000001544/ORF|Verified/|/BLS1/YLR408C/S000004400/ORF|Verified/|/SNN1/YNL086W/S000005030/ORF|Verified/
Component: CAAX-protein geranylgeranyltransferase complex/5953	/CDC43/YGL155W/S000003123/ORF|Verified/|/RAM2/YKL019W/S000001502/ORF|Verified/
Component: CAF-1 complex/33186	/MSI1/YBR195C/S000000399/ORF|Verified/|/CAC2/YML102W/S000004570/ORF|Verified/|/RLF2/YPR018W/S000006222/ORF|Verified/
Component: CBF3 complex/31518	/SKP1/YDR328C/S000002736/ORF|Verified/|/CBF2/YGR140W/S000003372/ORF|Verified/|/OGG1/YML060W/S000004525/ORF|Verified/|/CTF13/YMR094W/S000004700/ORF|Verified/|/CEP3/YMR168C/S000004778/ORF|Verified/
Component: CCAAT-binding factor complex/16602	/HAP3/YBL021C/S000000117/ORF|Verified/|/HAP2/YGL237C/S000003206/ORF|Verified/|/HAP4/YKL109W/S000001592/ORF|Verified/|/HAP5/YOR358W/S000005885/ORF|Verified/
Component: CCR4-NOT complex/30014	/CCR4/YAL021C/S000000019/ORF|Verified/|/CDC39/YCR093W/S000000689/ORF|Verified/|/CDC36/YDL165W/S000002324/ORF|Verified/|/BTT1/YDR252W/S000002660/ORF|Verified/|/MOT2/YER068W/S000000870/ORF|Verified/|/CAF16/YFL028C/S000001866/ORF|Verified/|/CAF130/YGR134W/S000003366/ORF|Verified/|/NOT3/YIL038C/S000001300/ORF|Verified/|/CAF4/YKR036C/S000001744/ORF|Verified/|/CAF40/YNL288W/S000005232/ORF|Verified/|/POP2/YNR052C/S000005335/ORF|Verified/|/NOT5/YPR072W/S000006276/ORF|Verified/
Component: CCR4-NOT core complex/30015	/CCR4/YAL021C/S000000019/ORF|Verified/|/CDC39/YCR093W/S000000689/ORF|Verified/|/CDC36/YDL165W/S000002324/ORF|Verified/|/BTT1/YDR252W/S000002660/ORF|Verified/|/MOT2/YER068W/S000000870/ORF|Verified/|/CAF130/YGR134W/S000003366/ORF|Verified/|/NOT3/YIL038C/S000001300/ORF|Verified/|/CAF40/YNL288W/S000005232/ORF|Verified/|/POP2/YNR052C/S000005335/ORF|Verified/|/NOT5/YPR072W/S000006276/ORF|Verified/
Component: CENP-A containing nucleosome/43505	/HHT1/YBR010W/S000000214/ORF|Verified/|/YBP2/YGL060W/S000003028/ORF|Verified/|/CSE4/YKL049C/S000001532/ORF|Verified/|/HHT2/YNL031C/S000004976/ORF|Verified/
Component: CHRAC/8623	/DPB4/YDR121W/S000002528/ORF|Verified/|/ITC1/YGL133W/S000003101/ORF|Verified/|/DLS1/YJL065C/S000003601/ORF|Verified/|/ISW2/YOR304W/S000005831/ORF|Verified/
Component: COMA complex/817	/AME1/YBR211C/S000000415/ORF|Verified/|/MCM21/YDR318W/S000002726/ORF|Verified/|/OKP1/YGR179C/S000003411/ORF|Verified/|/CTF19/YPL018W/S000005939/ORF|Verified/
